month,TTF,JKM,HH,Brent,Freight_Sabine_Pass_NWE,Freight_Sabine_Pass_Asia
unit,USD/MMBtu,USD/MMBtu,USD/MMBtu,USD/bbl,USD/day,USD/day
2027-01,15.3892,15.8200,4.4690,83.8700,60000.00,60000.00
2027-02,15.0819,14.8100,4.0340,82.7200,48500.00,48500.00
2027-03,14.5100,13.8500,3.2000,81.8000,38250.00,38250.00
2027-04,12.6835,12.0650,2.9590,80.8700,37500.00,37500.00
2027-05,11.7374,12.3950,2.9330,79.9100,35500.00,35500.00
2027-06,11.5275,12.4400,3.0680,79.6700,39000.00,39000.00
2027-07,11.5674,12.3350,3.2680,79.5200,40750.00,40750.00
2027-08,11.5742,12.4100,3.3290,79.0500,44250.00,44250.00
2027-09,11.5469,12.3900,3.3040,78.6500,57750.00,57750.00
2027-10,11.5312,12.6650,3.3780,78.2800,74250.00,74250.00
2027-11,11.5466,12.7250,3.6520,77.9500,85000.00,85000.00
2027-12,11.6661,12.5300,4.3230,77.2900,100000.00,100000.00
